Platform,Solana Address,BPS
solana,4FzyJeDxqRn2SKwVLdh2gi9MCvrSvgkCvHDZnNyBpd5v,900
solana,FxAiqjU3Hbee863f9PxDwm5xaaf1NC1XFNW3o46EnM7p,300
solana,5KafK7u67x6egWWbBzPex6yyJmF2LJTAfG7JujTCAC2K,300
solana,6qemckK3fajDuKhVNyvRxNd9a3ubFXxMWkHSEgMVxxov,300
solana,7MrhfthztJXyv2bM15NWQeQfrX2JgWhwAvVCgywQaYwq,200
solana,DCHqFbsTnqY3pss6L32LmtdpcjLaY4SJsFNMizLtq949,200
solana,AxrxnHv3UoNaPZSSW1GJbatzBqX4KPuegYJUFhyEyJaZ,100
solana,63xQBMG7MdVaHqxiwJc8D3xw7UmiE4Kbxjr9zro4EQzV,100
solana,7PwkrF1j5Hqamwu1okW616ZqSWBuwApL4szz9ksx27o5,100
solana,7TVSueqGhJv67tZy4o4Y8oDqJ3LYbETY3Quj27acSPjM,100
solana,4QgtF8rKENVtQN2iL5r35qYy2jgZXgScCtQ18b6nboUy,100
solana,31tYDteAeXd1QwbMiM2w8vLuCZGUmyqddXnAnWyC1yB5,100
solana,8bQx9XgBLuLximYfxoJR322t5eivPBb3mTBfwve7QmJh,100
solana,2izq2QMZH5EQr5KvnVrRGMAPbTFDprKuaHgBzSPxVfKE,100
solana,4HFLWavxSpzQpffjs2jopLVArh1yQctPx2FzKGx86oJ2,100
solana,5gMmsvuPUy9aFiWVs8YQ7tAmdSzW5CFaTnGcDMfNGVET,100
solana,ABScnWTzjcR4dGXzXHW1VR7ecwUXPYxeYNsFcDGfQq4q,100
solana,B9a3cAuMPLoYmeHokZ1eTGHXrbfeUbV7CmA3tM1XTtyH,100
solana,GRXDA9rSRaRGBVPiVuZSxGpPgfWsRPf4r8gAfmJ3ew9Q,100
solana,DpUDc3xn3thc2KABzJFAVnY1FowaXfjNkmd8XHoTBT2p,100
